2.5,0.0,2643.226149458374
2.6,0.0,1876.106720517203
2.7,0.0,1308.6289658252172
2.8,0.0,896.0830803742701
2.9,0.0,599.457755725954
3.0,0.0,390.9627466078622
3.1,0.0,246.4423962895265
3.2,0.0,148.63125565014911
3.3,0.0,83.76620736780656
3.4,0.0,40.88340881519677
3.5,0.0,14.03747684583918
3.6,0.0,-2.3896527193131467
3.7,0.0,-11.826537045559451
3.8,0.0,-16.701555372400087
3.9,0.0,-18.24206535870678
4.0,0.0,-19.603315710128545
4.1,0.0,-18.853444202992204
4.2,0.0,-17.557732048190974
4.3,0.0,-16.010891535834528
4.4,0.0,-14.403711742479093
4.5,0.0,-12.83925619759043
4.6,0.0,-11.375819117434968
4.7,0.0,-10.040926134018424
4.8,0.0,-8.843323309925697
4.9,0.0,-7.780823360696272
5.0,0.0,-6.845277634556258
5.1,0.0,-6.029846862480727
5.2,0.0,-5.31378695959794
5.3,0.0,-4.689411704235214
5.4,0.0,-4.145371407557521
5.5,0.0,-3.671313010448235
5.6,0.0,-3.257993995900283
5.7,0.0,-2.897234329545803
5.8,0.0,-2.5818637717054385
5.9,0.0,-2.305656486067993
6.0,0.0,-2.0632487313367274
6.2,0.0,-1.6621309742762362
6.4,0.0,-1.3492494753212183
6.6,0.0,-1.1032291698305752
6.8,0.0,-0.9083181414472355
7.0,0.0,-0.7527744968845367
7.2,0.0,-0.6277558206977486
7.4,0.0,-0.5265549707580417
7.6,0.0,-0.4440660907219886
7.8,0.0,-0.3763873560450801
8.0,0.0,-0.3205209679857137
8.2,0.0,-0.2741472968627268
8.4,0.0,-0.2354547947586533
8.6,0.0,-0.2030177618444628
8.8,0.0,-0.1757039264804678
9.0,0.0,-0.152604877659316
9.5,0.0,-0.1088475642263959
10.0,0.0,-0.0791087513501219
10.5,0.0,-0.0584632119404425
11.0,0.0,-0.0438567353120834
11.5,0.0,-0.0333469753122842
12.0,0.0,-0.0256677774521257
12.5,0.0,-0.0199785548038204
13.0,0.0,-0.0157102132499311
13.5,0.0,-0.012469890246263
14.0,0.0,-0.0099845584728022
14.5,0.0,-0.0080586677529392
15.0,0.0,-0.0065528521724242
16.0,0.0,-0.0044213153251766
17.0,0.0,-0.0030561818440293
18.0,0.0,-0.0021567751647238
19.0,0.0,-0.001551245799541
20.0,0.0,-0.0011344642419101
21.0,0.0,-0.0008412450203464
22.0,0.0,-0.0006325236357903
23.0,0.0,-0.0004806477250754
24.0,0.0,-0.0003695953854735
25.0,0.0,-0.0002857556410248
50.0,0.0,5.267859394137986e-06
100.0,0.0,0.0
2.5,5.0,2567.882494127093
2.6,5.0,1846.418428573932
2.7,5.0,1293.879896923019
2.8,5.0,886.5688149986088
2.9,5.0,594.0423107479368
3.0,5.0,387.8968767462336
3.1,5.0,245.74892668937076
3.2,5.0,148.02819642758928
3.3,5.0,82.33711740770696
3.4,5.0,40.30466057972447
3.5,5.0,13.799406566688642
3.6,5.0,-2.5110329452116
3.7,5.0,-11.840144911953889
3.8,5.0,-16.66433993877171
3.9,5.0,-18.180290054246672
4.0,5.0,-19.54095528652935
4.1,5.0,-18.789326887466085
4.2,5.0,-17.496886659705964
4.3,5.0,-15.955956819703392
4.4,5.0,-14.354973014574838
4.5,5.0,-12.796774248823333
4.6,5.0,-11.339172341274937
4.7,5.0,-10.009517777747014
4.8,5.0,-8.816484417778293
4.9,5.0,-7.75792623400954
5.0,5.0,-6.82574461465273
5.1,5.0,-6.0131459423454245
5.2,5.0,-5.29949301767559
5.3,5.0,-4.677142416819331
5.4,5.0,-4.134812923756979
5.5,5.0,-3.66219845033844
5.6,5.0,-3.250107835727622
5.7,5.0,-2.8903847462455525
5.8,5.0,-2.5758986710423377
5.9,5.0,-2.3004400140340553
6.0,5.0,-2.0586731260551456
6.2,5.0,-1.6585768035003634
6.4,5.0,-1.3464597367526907
6.6,5.0,-1.1010199406342998
6.8,5.0,-0.9065551021248892
7.0,5.0,-0.7513551565376285
7.2,5.0,-0.6266033602754334
7.4,5.0,-0.5256110133957368
7.6,5.0,-0.4432871773594231
7.8,5.0,-0.3757396900425884
8.0,5.0,-0.3199795262314431
8.2,5.0,-0.2736923272231409
8.4,5.0,-0.2350704967744918
8.6,5.0,-0.2026920652872738
8.8,5.0,-0.1754256344199818
9.0,5.0,-0.1523669694019297
9.5,5.0,-0.1086831783192157
10.0,5.0,-0.0789922128265801
10.5,5.0,-0.0583784957788891
11.0,5.0,-0.043794846541238
11.5,5.0,-0.0333002289081402
12.0,5.0,-0.0256320034158612
12.5,5.0,-0.0199509024406538
13.0,5.0,-0.0156884868387176
13.5,5.0,-0.0124523338338713
14.0,5.0,-0.0099705139666733
14.5,5.0,-0.0080472587359683
15.0,5.0,-0.0065427593405713
16.0,5.0,-0.0044140731881054
17.0,5.0,-0.0030504773355438
18.0,5.0,-0.0021530480528375
19.0,5.0,-0.001548613429305
20.0,5.0,-0.001131831871674
21.0,5.0,-0.0008390524181237
22.0,5.0,-0.0006298912655543
23.0,5.0,-0.0004784551228527
24.0,5.0,-0.0003667415717697
25.0,5.0,-0.0002846577804524
50.0,5.0,6.584044512152332e-06
100.0,5.0,0.0
2.5,10.0,2397.575483314411
2.6,10.0,1767.9361817859906
2.7,10.0,1249.517174577687
2.8,10.0,861.7860479208435
2.9,10.0,578.1404199684245
3.0,10.0,377.4111488457474
3.1,10.0,238.4325250331663
3.2,10.0,143.57487709440227
3.3,10.0,80.60457655849333
3.4,10.0,38.644778345149426
3.5,10.0,14.200964593908951
3.6,10.0,-2.2192600800978672
3.7,10.0,-11.195130043133434
3.8,10.0,-16.56548044492438
3.9,10.0,-19.13103088806039
4.0,10.0,-19.357541656011858
4.1,10.0,-18.60078830032634
4.2,10.0,-17.31789895428048
4.3,10.0,-15.79413378381845
4.4,10.0,-14.211358691802316
4.5,10.0,-12.671501202708416
4.6,10.0,-11.231065723772618
4.7,10.0,-9.916812132370335
4.8,10.0,-8.737242001903486
4.9,10.0,-7.690276467880916
5.0,10.0,-6.7679922767896645
5.1,10.0,-5.963761295035045
5.2,10.0,-5.257202230761735
5.3,10.0,-4.640839336515818
5.4,10.0,-4.1035568800453746
5.5,10.0,-3.635217113900692
5.6,10.0,-3.2267495888869617
5.7,10.0,-2.8701015600842754
5.8,10.0,-2.5582224047129114
5.9,10.0,-2.284984610480265
6.0,10.0,-2.0451100317871767
6.2,10.0,-1.6480396063430212
6.4,10.0,-1.3381883959409195
6.6,10.0,-1.0944712553417753
6.8,10.0,-0.9013263384190316
7.0,10.0,-0.7471473875694666
7.2,10.0,-0.6231867994606788
7.4,10.0,-0.5228140264522939
7.6,10.0,-0.4409785231650622
7.8,10.0,-0.3738221393203689
8.0,10.0,-0.3183764813739874
8.2,10.0,-0.2723449715978531
8.4,10.0,-0.2339327389508646
8.6,10.0,-0.201726593600457
8.8,10.0,-0.1746030405536774
9.0,10.0,-0.1516631128992338
9.5,10.0,-0.1081979208273051
10.0,10.0,-0.0786487321756875
10.5,10.0,-0.0581307098952736
11.0,10.0,-0.0436120215667172
11.5,10.0,-0.0331630555961132
12.0,10.0,-0.0255281900944083
12.5,10.0,-0.0198707929270135
13.0,10.0,-0.015625933737469
13.5,10.0,-0.0124031702651147
14.0,10.0,-0.0099305668126649
14.5,10.0,-0.0080149934870445
15.0,10.0,-0.0065166414870684
16.0,10.0,-0.0043958555642326
17.0,10.0,-0.0030373092465195
18.0,10.0,-0.0021433887511538
19.0,10.0,-0.0015404917562071
20.0,10.0,-0.0011252447082398
21.0,10.0,-0.0008337845587296
22.0,10.0,-0.0006257212667325
23.0,10.0,-0.00047494321659
24.0,10.0,-0.0003636694335203
25.0,10.0,-0.0002811458741896
50.0,10.0,7.900229630166677e-06
100.0,10.0,0.0
2.5,15.0,2226.214567400385
2.6,15.0,1669.2886479089798
2.7,15.0,1190.069234887686
2.8,15.0,822.4452942366577
2.9,15.0,553.0668656860148
3.0,15.0,361.4810417458158
3.1,15.0,228.36862583294632
3.2,15.0,137.3247584683703
3.3,15.0,76.79371696711502
3.4,15.0,37.63987665903228
3.5,15.0,13.282882242714988
3.6,15.0,-2.662706154061609
3.7,15.0,-13.012891137205976
3.8,15.0,-16.353235966532104
3.9,15.0,-18.919384478571683
4.0,15.0,-19.064002018226045
4.1,15.0,-18.29908925672331
4.2,15.0,-17.03168999040693
4.3,15.0,-15.534150722265508
4.4,15.0,-13.980382931140864
4.5,15.0,-12.469819602677894
4.6,15.0,-11.056815595490203
4.7,15.0,-9.767202424201308
4.8,15.0,-8.60923057339102
4.9,15.0,-7.580903044034964
5.0,15.0,-6.678833781495255
5.1,15.0,-5.88380054150232
5.2,15.0,-5.188675445576501
5.3,15.0,-4.581965705618789
5.4,15.0,-4.052848147387349
5.5,15.0,-3.591420954293258
5.6,15.0,-3.18881208425094
5.7,15.0,-2.837144153734469
5.8,15.0,-2.529489225883086
5.9,15.0,-2.2598503776717016
6.0,15.0,-2.023049540353957
6.2,15.0,-1.6308916136788414
6.4,15.0,-1.3247251633201274
6.6,15.0,-1.0838085215706887
6.8,15.0,-0.8928148936287292
7.0,15.0,-0.7402956085480712
7.2,15.0,-0.6176244327301578
7.4,15.0,-0.5182592711648207
7.6,15.0,-0.4372208988640274
7.8,15.0,-0.3706998924688283
8.0,15.0,-0.3157671474964461
8.2,15.0,-0.2701526376024883
8.4,15.0,-0.2320825694212744
8.6,15.0,-0.2001575699450565
8.8,15.0,-0.1732671001832045
9.0,15.0,-0.1505203117786022
9.5,15.0,-0.1074102245801606
10.0,15.0,-0.0780928030283526
10.5,15.0,-0.057730386889462
11.0,15.0,-0.0433185871395299
11.5,15.0,-0.0329448963533413
12.0,15.0,-0.0253629277701234
12.5,15.0,-0.0197441584526968
13.0,15.0,-0.0155280494868914
13.5,15.0,-0.0123265726577372
14.0,15.0,-0.0098704339949509
14.5,15.0,-0.007967149222328
15.0,15.0,-0.0064784534051135
16.0,15.0,-0.0043703989222107
17.0,15.0,-0.0030204109266868
18.0,15.0,-0.0021321949398065
19.0,15.0,-0.0015325915265769
20.0,15.0,-0.0011195401997544
21.0,15.0,-0.0008302726524668
22.0,15.0,-0.0006233072210422
23.0,15.0,-0.0004731872634586
24.0,15.0,-0.0003630113409613
25.0,15.0,-0.0002807092250984
50.0,15.0,7.681905084524488e-06
100.0,15.0,0.0
2.5,20.0,2083.8013820327797
2.6,20.0,1565.9710057824964
2.7,20.0,1118.8334662332454
2.8,20.0,774.7201709557708
2.9,20.0,521.2447689681861
3.0,20.0,340.8903770535634
3.1,20.0,214.8715466666166
3.2,20.0,129.1442189131046
3.3,20.0,72.06188564577049
3.4,20.0,35.70647504146346
3.5,20.0,11.88429333197787
3.6,20.0,-3.3131907701024765
3.7,20.0,-11.500351216825804
3.8,20.0,-16.12160617414819
3.9,20.0,-17.919352278169168
4.0,20.0,-18.699309584501098
4.1,20.0,-17.911078083543693
4.2,20.0,-16.65534367313859
4.3,20.0,-15.18989159777834
4.4,20.0,-13.67397988870988
4.5,20.0,-12.201749996446456
4.6,20.0,-10.824787236053616
4.7,20.0,-9.567642483391804
4.8,20.0,-8.438203869792442
4.9,20.0,-7.434575577182368
5.0,20.0,-6.55359256086125
5.1,20.0,-5.776546362831697
5.2,20.0,-5.096646222663898
5.3,20.0,-4.502828200926006
5.4,20.0,-3.984623361189336
5.5,20.0,-3.532456899607268
5.6,20.0,-3.1377078535595624
5.7,20.0,-2.792709098533434
5.8,20.0,-2.4907267133350692
5.9,20.0,-2.2259174036843032
6.0,20.0,-1.9932499334484872
6.2,20.0,-1.6077122401384258
6.4,20.0,-1.306517987836297
6.6,20.0,-1.0693879389361778
6.8,20.0,-0.8813001576750403
7.0,20.0,-0.7310239015492452
7.2,20.0,-0.6100940417613869
7.4,20.0,-0.5120922546051437
