2.5,0.0,2583.484766043679
2.6,0.0,1844.302320036162
2.7,0.0,1288.1653071488745
2.8,0.0,878.4561104391352
2.9,0.0,582.2497295006365
3.0,0.0,373.37520924201937
3.1,0.0,229.4832856806616
3.2,0.0,132.07401603674072
3.3,0.0,68.54358156621818
3.4,0.0,28.74410681232477
3.5,0.0,3.6197718062976767
3.6,0.0,-11.782680528571913
3.7,0.0,-19.212739317105296
3.8,0.0,-23.026346292090295
3.9,0.0,-24.553883349684035
4.0,0.0,-24.081466403838704
4.1,0.0,-22.556418405130312
4.2,0.0,-20.57727234961151
4.3,0.0,-18.42871777771828
4.4,0.0,-16.334243072197726
4.5,0.0,-13.779872885573631
4.6,0.0,-12.07674602597728
4.7,0.0,-10.571031330115906
4.8,0.0,-9.25622905170336
4.9,0.0,-8.11595234293893
5.0,0.0,-7.132116932582296
5.1,0.0,-6.284253294472474
5.2,0.0,-5.553954096301111
5.3,0.0,-4.92387513713486
5.4,0.0,-4.379237429646159
5.5,0.0,-3.907253287261189
5.6,0.0,-3.497736672259661
5.7,0.0,-3.1376141393078067
5.8,0.0,-2.825410818769995
5.9,0.0,-2.5505965404203312
6.0,0.0,-2.309929000739626
6.2,0.0,-1.9098985186299655
6.4,0.0,-1.5951139563457926
6.6,0.0,-1.346941264013793
6.8,0.0,-1.1491928680028332
7.0,0.0,-0.9903851935097312
7.2,0.0,-0.8618716060666017
7.4,0.0,-0.756564604759041
7.6,0.0,-0.6692472809040199
7.8,0.0,-0.5960290100062204
8.0,0.0,-0.5342831138624111
8.2,0.0,-0.4815808909673486
8.4,0.0,-0.4361718088762296
8.6,0.0,-0.3969277690671107
8.8,0.0,-0.3627393304099344
9.0,0.0,-0.3329923958605624
9.5,0.0,-0.2735948796216546
10.0,0.0,-0.2301233187108373
10.5,0.0,-0.1977056012810919
11.0,0.0,-0.1728507583935869
11.5,0.0,-0.153471145791515
12.0,0.0,-0.1379946739190705
12.5,0.0,-0.1253601794410816
13.0,0.0,-0.1150648422154019
13.5,0.0,-0.1063010017746488
14.0,0.0,-0.0987886038673609
14.5,0.0,-0.0924457861456886
15.0,0.0,-0.0867646851704812
16.0,0.0,-0.0775607991322979
17.0,0.0,-0.0700813214475708
18.0,0.0,-0.0638627272734469
19.0,0.0,-0.058804057102177
20.0,0.0,-0.0543052677525182
21.0,0.0,-0.0504833343971034
22.0,0.0,-0.0470847697627539
23.0,0.0,-0.0440975005020955
24.0,0.0,-0.0413876500037405
25.0,0.0,-0.0389530163086999
50.0,0.0,-0.0122932126671631
100.0,0.0,0.0
2.5,5.0,2487.6603062422314
2.6,5.0,1810.351861069044
2.7,5.0,1272.4781358621335
2.8,5.0,869.9205340184784
2.9,5.0,577.0025333395531
3.0,5.0,370.0480899522623
3.1,5.0,227.68797618461335
3.2,5.0,130.0054845469191
3.3,5.0,68.81576851762883
3.4,5.0,28.498176930623085
3.5,5.0,3.550282188033705
3.6,5.0,-12.030581073119926
3.7,5.0,-19.101804548390103
3.8,5.0,-22.92274658249181
3.9,5.0,-24.521180534705824
4.0,5.0,-24.011659425896266
4.1,5.0,-22.473039334829704
4.2,5.0,-20.487579214931884
4.3,5.0,-18.344226409354984
4.4,5.0,-16.25811083606493
4.5,5.0,-13.715435135111871
4.6,5.0,-12.020815990075011
4.7,5.0,-10.522665703265544
4.8,5.0,-9.214398505407408
4.9,5.0,-8.079652337892588
5.0,5.0,-7.1036076143848055
5.1,5.0,-6.25984815336516
5.2,5.0,-5.532839979394808
5.3,5.0,-4.90248206695659
5.4,5.0,-4.36032047170768
5.5,5.0,-3.8904358223645006
5.6,5.0,-3.482826004041858
5.7,5.0,-3.1269718157628157
5.8,5.0,-2.816159743440732
5.9,5.0,-2.5423633876905147
6.0,5.0,-2.3027054306116126
6.2,5.0,-1.904033716263133
6.4,5.0,-1.5905754412855933
6.6,5.0,-1.3432363120688553
6.8,5.0,-1.1463247727548744
7.0,5.0,-0.9880229874232466
7.2,5.0,-0.8596722513776335
7.4,5.0,-0.7547862016265254
7.6,5.0,-0.667649725349426
7.8,5.0,-0.5945635782288051
8.0,5.0,-0.5330224517952756
8.2,5.0,-0.4804163571976593
8.4,5.0,-0.4350634624878225
8.6,5.0,-0.3959247705098201
8.8,5.0,-0.3617817620716698
9.0,5.0,-0.3321895572467166
9.5,5.0,-0.272900242652629
10.0,5.0,-0.2295605871944445
